Accuracy,loss,val_acc,val_loss
0.03395,5.019183636,0.15,4.112150602
0.1761,3.829587551,0.27,3.289710951
0.26565,3.300148856,0.34375,2.887700586
0.31495,3.036372939,0.37,2.667106485
0.34485,2.883825302,0.42375,2.544103842
0.37025,2.75531867,0.46625,2.299415512
0.38505,2.67376399,0.45875,2.2485432
0.40395,2.568473093,0.49625,2.239301248
0.4171,2.496611428,0.47375,2.20933567
0.42575,2.440355683,0.475,2.102727385
0.4374,2.389488997,0.5125,2.021860127
0.4436,2.336664804,0.50375,2.02488555
0.4541,2.284786521,0.5225,2.016330256
0.4607,2.251898303,0.55,1.880924559
0.47255,2.203953053,0.54875,1.924952617
0.4763,2.172544212,0.57,1.801057425
0.485,2.126637159,0.55125,1.807815905
0.48885,2.100092038,0.58125,1.685439568
0.49615,2.083165154,0.5575,1.758687363
0.4978,2.044422547,0.56375,1.677627153
0.5073,2.001390978,0.56,1.781833935
0.51625,1.971414229,0.5675,1.657730412
0.51385,1.959747924,0.60375,1.60375649
0.52465,1.924273544,0.61125,1.594814448
0.52515,1.905450827,0.62125,1.426893477
0.53,1.87733377,0.5875,1.655900002
0.53025,1.871410311,0.62375,1.553255241
0.54225,1.82694852,0.64625,1.333587461
0.54485,1.808795978,0.64875,1.392613342
0.54875,1.788194476,0.65,1.360932045
0.5529,1.771944331,0.65125,1.304555519
0.5598,1.750215504,0.63625,1.408380642
0.5606,1.728843023,0.64375,1.421932487
0.56355,1.710485683,0.66625,1.247165368
0.5677,1.689560338,0.6775,1.198986816
0.5728,1.672361889,0.65875,1.233548012
0.57275,1.65778445,0.65,1.342634764
0.5734,1.647528365,0.675,1.184155025
0.5813,1.620047564,0.6825,1.268916714
0.5865,1.607738163,0.69,1.150355208
0.5876,1.594450457,0.6875,1.219795878
0.5899,1.597610176,0.68875,1.151359146
0.59155,1.57184154,0.68125,1.139113841
0.59595,1.56196485,0.7225,1.085978637
0.5968,1.549304101,0.67875,1.194781902
0.60365,1.525546587,0.7075,1.049582458
0.60565,1.517989841,0.6975,1.120966856
0.60155,1.498841281,0.72125,1.072675519
0.6085,1.486414572,0.72,1.019344037
0.61165,1.473970386,0.67875,1.176825676
0.6182,1.456850277,0.69625,1.077212365
0.61425,1.45173151,0.74625,0.923125918
0.62015,1.451503605,0.74625,0.975746229
0.62155,1.42539645,0.725,1.020836575
0.6255,1.412344239,0.76,0.896605351
0.6258,1.411461889,0.73375,1.027250071
0.62565,1.405524635,0.7225,1.079109883
0.62815,1.384529547,0.73125,0.943078253
0.6291,1.375649497,0.77375,0.829968332
0.6369,1.353314122,0.745,0.871138906
0.63795,1.360210606,0.715,0.976542656
0.63975,1.344113272,0.7675,0.884642619
0.6465,1.33059738,0.76125,0.912301271
0.63535,1.339009094,0.7625,0.843655819
0.6437,1.338071609,0.755,0.925093485
0.64815,1.319071274,0.7675,0.870833974
0.6478,1.317233936,0.74625,0.891512744
0.65045,1.298426906,0.7825,0.826408498
0.6501,1.291361837,0.755,0.92899546
0.6521,1.283287406,0.75,0.832083194
0.6581,1.266869738,0.7825,0.84058481
0.6548,1.271346983,0.785,0.775518398
0.65715,1.258880976,0.7725,0.80722187
0.65725,1.263607501,0.75125,0.882377651
0.6565,1.244935275,0.79125,0.741335385
0.6629,1.240797182,0.78625,0.756677483
0.66155,1.243312708,0.79,0.77229
0.66835,1.226215334,0.78125,0.763836035
0.6616,1.243981443,0.79625,0.686567042
0.6716,1.20952901,0.8,0.765247784
0.67135,1.205620413,0.77625,0.837445832
0.67225,1.194405041,0.7725,0.790454252
0.67085,1.198685361,0.7775,0.746971813
0.6721,1.187792301,0.7925,0.703627771
0.67125,1.18404,0.78875,0.759209583
0.67225,1.179461793,0.7975,0.718791406
0.6774,1.183004343,0.78125,0.788053716
0.67905,1.161749267,0.81625,0.680313896
0.6794,1.167514636,0.79125,0.758977345
0.6796,1.173990453,0.8075,0.697179426
0.683,1.14198,0.78625,0.742514778
0.67635,1.181377864,0.79,0.706310143
0.68545,1.145443961,0.79125,0.708529477
0.68145,1.136334446,0.82375,0.655979653
0.6885,1.132305628,0.7975,0.683424957
0.6884,1.129273509,0.79625,0.688901607
0.6863,1.116814945,0.81625,0.674843701
0.6885,1.115663827,0.79125,0.714739611
0.68645,1.133694895,0.8075,0.641135969
0.6941,1.107091454,0.84625,0.587428198
0.688,1.109476159,0.8275,0.57491899
0.69585,1.097475917,0.82375,0.641704332
0.69295,1.101606938,0.81375,0.628235512
0.69995,1.084784187,0.83,0.641239368
0.69735,1.076312907,0.805,0.689036369
0.69975,1.083829959,0.80875,0.630278183
0.70375,1.063303161,0.83875,0.588289373
0.7007,1.073003883,0.8425,0.544925264
0.70915,1.05689543,0.82,0.61578542
0.7026,1.061390272,0.8475,0.58183285
0.7054,1.062039306,0.8125,0.633072799
0.7086,1.049381015,0.845,0.565233988
0.70845,1.042932264,0.81875,0.629711014
